# generated by scripts/build_synonyms.py from WordNet — do not edit by hand
word	synonym	sense_rank
baste	clobber	1
basting	clobber	1
bat	chiropteran	0
batch	flock	1
bath	tub	2
bathhouse	bagnio	1
bathing	washup	1
bathroom	toilet	1
bathtub	tub	0
bating	bate	0
baton	wand	0
bats	chiropteran	0
battalion	multitude	1
batter	hitter	0
battering	banging	0
battery	shelling	5
batting	flutter	1
battle	fight	0
battled	combat	0
battlefield	battleground	0
battlefront	front	0
battleground	battlefield	0
battleship	battlewagon	0
battlewagon	battleship	0
batty	kooky	0
bauble	trinket	1
bawl	bellow	0
bawler	roarer	0
bay	embayment	0
bayberry	waxberry	1
bazaar	fair	2
beacon	lighthouse	2
bead	pearl	1
beadlike	buttony	0
