# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
avid	abstract	1.72	25.0	Adjective
avidly	abstract	1.88	5.0	Adverb
avoidable	abstract	1.79	2.0	Adjective
avoidably	abstract	1.57	0.0	#N/A
avoidance	abstract	1.86	26.0	Noun
avowed	abstract	1.83	2.0	Adjective
await	abstract	1.54	181.0	Verb
awardable	abstract	1.76	0.0	#N/A
aware	abstract	2.00	1818.0	Adjective
awareness	abstract	1.84	115.0	Noun
awe	abstract	1.89	134.0	Noun
awed	abstract	1.78	6.0	Adjective
awesome	abstract	1.83	1600.0	Adjective
awesomely	abstract	1.69	5.0	Adverb
awesomeness	abstract	1.57	7.0	Noun
awful	abstract	1.92	3234.0	Adjective
awfully	abstract	1.67	1035.0	Adverb
awhile	abstract	1.54	483.0	Adverb
awkward	abstract	2.00	730.0	Adjective
awkwardly	abstract	1.84	13.0	Adverb
axiom	abstract	2.00	7.0	Noun
backlash	abstract	1.85	7.0	Noun
bad	abstract	1.68	27804.0	Adjective
badly	abstract	1.93	1336.0	Adverb
baffling	abstract	1.72	15.0	Adjective
baneful	abstract	1.83	1.0	Adjective
barbarous	abstract	1.63	11.0	Adjective
barely	abstract	1.71	1482.0	Adverb
based	abstract	1.85	1357.0	Verb
basically	abstract	1.32	1327.0	Adverb
basis	abstract	1.83	609.0	Noun
bastardly	abstract	1.83	0.0	#N/A
batty	abstract	2.00	35.0	Adjective
bearably	abstract	2.00	0.0	#N/A
beatable	abstract	1.76	2.0	Adjective
beautifully	abstract	1.72	357.0	Adverb
become	abstract	1.54	5894.0	Verb
becomes	abstract	1.61	1231.0	Verb
becoming	abstract	1.67	1167.0	Verb
befall	abstract	1.72	30.0	Verb
beforehand	abstract	1.97	74.0	Adverb
begone	abstract	1.85	26.0	Verb
begrudge	abstract	1.89	24.0	Verb
begrudgingly	abstract	1.89	3.0	Adverb
beguile	abstract	1.76	10.0	Verb
beguiling	abstract	1.62	8.0	Adjective
begun	abstract	1.69	538.0	Verb
behalf	abstract	1.52	620.0	Preposition
behave	abstract	1.78	828.0	Verb
behavioral	abstract	1.48	79.0	Adjective
behold	abstract	1.67	303.0	Verb
beholden	abstract	1.69	31.0	Adjective
beholding	abstract	1.79	6.0	Verb
behoove	abstract	1.56	15.0	Verb
behooves	abstract	1.58	7.0	Verb
belated	abstract	1.89	22.0	Adjective
belatedly	abstract	1.63	0.0	#N/A
belief	abstract	1.19	388.0	Noun
believability	abstract	1.79	4.0	Noun
believable	abstract	1.46	72.0	Adjective
believe	abstract	1.55	31882.0	Verb
believing	abstract	1.69	532.0	Verb
belong	abstract	1.43	2263.0	Verb
belonging	abstract	1.92	105.0	Verb
bemuse	abstract	1.96	0.0	#N/A
bemusedly	abstract	1.67	0.0	#N/A
benediction	abstract	2.00	13.0	Noun
beneficial	abstract	1.77	40.0	Adjective
beneficially	abstract	1.63	2.0	Adverb
benevolence	abstract	1.63	21.0	Noun
benevolent	abstract	1.44	37.0	Adjective
benign	abstract	1.89	58.0	Adjective
benignly	abstract	1.65	2.0	Adverb
bequeath	abstract	2.00	43.0	Verb
bereave	abstract	1.96	0.0	#N/A
bereaved	abstract	2.00	23.0	Adjective
beseeching	abstract	1.88	2.0	Verb
bespoke	abstract	1.75	3.0	Verb
bespoken	abstract	1.80	0.0	#N/A
best	abstract	1.60	20623.0	Adjective
betrayal	abstract	1.76	216.0	Noun
better	abstract	1.91	40494.0	Adverb
bettering	abstract	1.84	4.0	Verb
beware	abstract	2.00	292.0	Verb
bewilder	abstract	1.96	2.0	Verb
bewildered	abstract	1.80	52.0	Adjective
bewildering	abstract	1.76	11.0	Adjective
bias	abstract	1.68	82.0	Noun
biased	abstract	1.52	47.0	Adjective
biblical	abstract	1.97	114.0	Adjective
bide	abstract	1.73	28.0	Verb
bighearted	abstract	1.75	5.0	Adjective
bigoted	abstract	1.96	10.0	Adjective
biologically	abstract	1.86	34.0	Adverb
bipartisan	abstract	2.00	4.0	Adjective
bitterly	abstract	1.81	39.0	Adverb
bizarre	abstract	1.79	372.0	Adjective
bizarrely	abstract	1.64	6.0	Adverb
blah	abstract	1.40	686.0	Interjection
blamable	abstract	1.76	0.0	#N/A
blamed	abstract	1.68	287.0	Verb
blameless	abstract	1.67	21.0	Adjective
blandish	abstract	1.93	1.0	Verb
blankly	abstract	1.70	4.0	Adverb
blasphemous	abstract	1.52	22.0	Adjective
blatancy	abstract	1.71	0.0	#N/A
blatantly	abstract	1.67	24.0	Adverb
bleakly	abstract	1.68	0.0	#N/A
bleakness	abstract	1.55	1.0	Noun
bleary	abstract	2.00	2.0	Adjective
blessedly	abstract	1.91	3.0	Adverb
blessedness	abstract	1.58	4.0	Noun
bliss	abstract	1.37	160.0	Noun
blissfully	abstract	1.89	14.0	Adverb
blithely	abstract	1.55	13.0	Adverb
bloodcurdling	abstract	1.97	8.0	Adjective
blueblood	abstract	2.00	2.0	Noun
bode	abstract	1.88	24.0	Verb
bodiless	abstract	1.88	2.0	Adjective
boggle	abstract	2.00	19.0	Verb
bogusness	abstract	1.69	0.0	#N/A
boldly	abstract	1.67	33.0	Adverb
boldness	abstract	2.00	11.0	Noun
bolster	abstract	1.89	16.0	Verb
bondless	abstract	2.00	0.0	#N/A
